ParentMaterialNumber,SalesWeekNumber,SalesOrderQtyEaches,Base_Sales,Sales_Variance_Pct,CustomerCt,Base_CustomerCt,CustomerCt_Variance_Pct,Sales_Per_Customer,Base_Sales_Per_Customer,OrderSize_Variance_Pct
ARWAK05502,3,1157.0,1030.5,0.1227559437166424,42.0,37.5,0.12,27.547619047619047,27.428981348637016,0.004325268134243939
ASO1C07T6WR,35,139.0,268.5,-0.4823091247672253,81.0,108.0,-0.25,1.7160493827160495,2.4772727272727275,-0.30728281798618196
ASO1C15T6,19,332.0,334.25,-0.006731488406881077,150.0,144.75,0.03626943005181347,2.2133333333333334,2.311071716521057,-0.04229136745909932
ASO1C15T6,45,410.0,334.25,0.22662677636499626,161.0,144.75,0.11226252158894647,2.546583850931677,2.311071716521057,0.10190602599089639
ASO1C16T6,38,260.0,324.5,-0.1987673343605547,128.0,135.75,-0.0570902394106814,2.03125,2.378447839751747,-0.14597664659654086
ASO1C16T6,45,402.0,324.5,0.23882896764252695,146.0,135.75,0.07550644567219153,2.7534246575342465,2.378447839751747,0.15765610307503666
ASOLCB049,7,7850.0,4981.25,0.5759096612296111,54.0,34.0,0.5882352941176471,145.37037037037038,154.18269230769232,-0.057155065885967055
ASOLCB049,41,2100.0,4981.25,-0.5784190715181933,20.0,34.0,-0.4117647058823529,105.0,154.18269230769232,-0.3189897100093546
ASOLCC012,30,45300.0,40725.0,0.11233885819521179,199.0,198.5,0.0025188916876574307,227.63819095477388,205.11548223350252,0.10980501557474637
ASOPCC064B,40,328.0,164.0,1.0,7.0,9.0,-0.2222222222222222,46.857142857142854,13.75,2.4077922077922076
ASOPCC067,40,132.0,93.0,0.41935483870967744,24.0,16.5,0.45454545454545453,5.5,5.632692307692308,-0.02355752816660976
ASOPCC067B,43,96000.0,87500.0,0.09714285714285714,17.0,17.0,0.0,5647.058823529412,5114.583333333334,0.10410926081226773
ASOU504,53,5600.0,6083.333333333333,-0.0794520547945205,11.0,15.333333333333334,-0.28260869565217395,509.09090909090907,407.1969696969697,0.2502325581395348
ATP26109,52,0.0,0.0,0.0,1.0,5.0,-0.8,0.0,0.0,0.0
ATP26110,43,500.0,1250.0,-0.6,2.0,3.5,-0.42857142857142855,250.0,333.3333333333333,-0.24999999999999994
ATPRL1,11,1100.0,3702.625,-0.7029134735491712,8.0,18.5,-0.5675675675675675,137.5,189.69540229885058,-0.2751537552640349
ATPRL1,25,1200.0,3702.625,-0.6759056075081867,10.0,18.5,-0.4594594594594595,120.0,189.69540229885058,-0.3674069136849759
ATPRL1,37,8800.0,3702.625,1.3766922116066305,31.0,18.5,0.6756756756756757,283.8709677419355,189.69540229885058,0.4964567633258634
